Index,Wallet Address,X Username,Tier,Total Balance (USD),Total ETH,Robinhood Chain (ETH),Base Chain (ETH),Arbitrum (ETH),Ethereum Mainnet (ETH),Qualification Reason
95,0x5aD69E6101630b61aC5ACfFaFf8Ca93582B09E5d,"@doin_it_movin00",GTD,$33.57,0.011991,0.009262,0.001445,0.000000,0.001284,"Balance >= $10"
96,0x5753cd6bb11c2de83a44ac1126203e1112f65c49,"Jessica_signal2",GTD,$32.68,0.011670,0.011259,0.000000,0.000000,0.000411,"Balance >= $10"
97,0x642ee62ba0b1e501ec0bc6b38140b35cf7f864c3,"PDHM_Gaming",GTD,$32.27,0.011526,0.011410,0.000000,0.000000,0.000116,"Balance >= $10"
98,0xdf65fd379e1c6e211b63efefe082470f12cd4e15,"MozaikCoworking",GTD,$32.16,0.011486,0.009983,0.000000,0.000000,0.001502,"Balance >= $10"
99,0xefec2e8a425fd604fa7fb0a514a6e80876f2a1df,"",GTD,$31.97,0.011417,0.010244,0.000056,0.000086,0.001031,"Balance >= $10"
100,0x6c4200c8724ccb8a51791057fb50ac00c62fbcc6,"LincyAcosta",GTD,$31.54,0.011264,0.010083,0.000000,0.000000,0.001181,"Balance >= $10"
101,0x9f1f72090bd492a6b34303fb9faeaadd5cf3c8e3,"celine120578",GTD,$31.03,0.011083,0.010909,0.000000,0.000000,0.000174,"Balance >= $10"
102,0x043b10f07abd3bd5234fcb48c822a8c59385f2bd,"thatbigboi_",GTD,$30.94,0.011049,0.008603,0.000000,0.000000,0.002446,"Balance >= $10"
103,0x66984ee17f22fe86d19090ed1fbd57becc825196,"@zealongaming",GTD,$30.88,0.011028,0.010929,0.000000,0.000000,0.000100,"Balance >= $10"
104,0xd5d7a991efe93a5a58efa32241230d14d9e445c5,"NftKason",GTD,$30.46,0.010878,0.010697,0.000000,0.000000,0.000182,"Balance >= $10"
105,0xaedb98c48f74c822c1d52fa7080cc9f68d2e9ff1,"OxSuperboyt",GTD,$30.27,0.010812,0.009949,0.000225,0.000000,0.000638,"Balance >= $10"
106,0x16a3a83abe574c318cfef521853a6f17c4ae4246,"theglassmic",GTD,$30.08,0.010744,0.010142,0.000000,0.000000,0.000602,"Balance >= $10"
107,0x8008cdd0dc44e6533ceb7a8220d5121d79bb22f6,"WHUGaming",GTD,$29.88,0.010671,0.010471,0.000000,0.000000,0.000200,"Balance >= $10"
108,0xa884DeB7E52522201118058a8981A5A18D99F60C,"@rhidershark",GTD,$29.58,0.010565,0.001663,0.005158,0.000000,0.003744,"Balance >= $10"
109,0xeD4dc72557d6c7c4A9D1B65D772133ff64D2D2f5,"@cartxii",GTD,$29.52,0.010541,0.000000,0.000000,0.000000,0.010541,"Balance >= $10"
110,0x1Dc94698cC2255FE19631E795De6099E2AB23765,"@ferdo717",GTD,$29.48,0.010528,0.006488,0.000000,0.000000,0.004040,"Balance >= $10"
111,0x0ff4cee2999ca4856f58318a37e5e8bfb49e5ccc,"arthurvogel88",GTD,$29.01,0.010361,0.010264,0.000000,0.000000,0.000097,"Balance >= $10"
112,0x28e14356af544eea4211137969c225797a021ed5,"Nicholascaution",GTD,$28.96,0.010342,0.009820,0.000000,0.000000,0.000522,"Balance >= $10"
113,0xfac77de531ca96c6484f361b1157147d96b25277,"daniellorain8",GTD,$28.64,0.010227,0.010182,0.000000,0.000000,0.000045,"Balance >= $10"
114,0x8897850977e989b45e11b7a9d0b9acd163e9371e,"UoL_Gaming",GTD,$28.54,0.010194,0.009921,0.000000,0.000000,0.000273,"Balance >= $10"
115,0x93865c189e853b767656c802665340c58e7ee9c0,"romanclark3",GTD,$28.51,0.010183,0.010182,0.000000,0.000000,0.000001,"Balance >= $10"
116,0xe370E487c1089EB536Ddb8d185803D960E917c13,"@youkaiakk",GTD,$28.23,0.010082,0.009942,0.000000,0.000000,0.000140,"Balance >= $10"
117,0x5836eBcd7a9deC7DF23419A7FEfCE372b63af7D9,"@nitro_content",GTD,$28.16,0.010058,0.000424,0.001422,0.000000,0.008213,"Balance >= $10"
118,0x71d3b62d1f461909707ddaaea6b283a5be63662b,"@bangram_eth",GTD,$28.15,0.010054,0.008358,0.000130,0.000004,0.001562,"Balance >= $10"
119,0x4291c79c2f747785bcd0ee1f52f39b6dc70750d5,"fuckedwfriends",GTD,$28.08,0.010029,0.009945,0.000000,0.000000,0.000083,"Balance >= $10"
120,0xb1173d0fad474e9b2ae3668d784a5c18758d59e6,"MrNJersey",GTD,$28.06,0.010023,0.009834,0.000000,0.000000,0.000189,"Balance >= $10"
121,0xdb05cd8c2635d18a59a48b141d0bd327b0f5b82e,"mikhailcross6",GTD,$28.03,0.010012,0.010011,0.000000,0.000000,0.000001,"Balance >= $10"
122,0x4a52f2013b06b40d517cfd302431d2d93b29e02e,"erikvane91",GTD,$28.03,0.010012,0.010011,0.000000,0.000000,0.000001,"Balance >= $10"
123,0x701cec4be695b97fb5e277192faf2d4a8a0751f3,"stefanknox04",GTD,$28.03,0.010012,0.010011,0.000000,0.000000,0.000001,"Balance >= $10"
124,0xc9bbec251464815d7639b150837c51d13816e56c,"alexvance92",GTD,$28.03,0.010012,0.010011,0.000000,0.000000,0.000001,"Balance >= $10"
125,0xd1a2dc68e23a5736f00c86f5496e303959f8411a,"deniswelch4",GTD,$28.03,0.010011,0.010011,0.000000,0.000000,0.000000,"Balance >= $10"
126,0x76613d4bcb35c6bb134468cec92764bb63991b5f,"victorbrandt05",GTD,$27.97,0.009988,0.009948,0.000000,0.000000,0.000040,"Balance >= $10"
127,0xe4cc8e9a475077de14600d42b57ec0eb2fe82ac8,"maximdoyle7",GTD,$27.86,0.009949,0.009948,0.000000,0.000000,0.000001,"Balance >= $10"
128,0xda73349520dde2ef7acf923c1581d7e91fa96493,"sayonara_7512",GTD,$27.77,0.009919,0.002288,0.000661,0.001384,0.005587,"Balance >= $10"
129,0x4c35d785e322ed0df2a13086b0c82dcad20995ba,"JournoStef",GTD,$27.77,0.009916,0.009867,0.000000,0.000000,0.000050,"Balance >= $10"
130,0x10913c7f630f78117324d23413cb65486ae987ee,"jakepenguin",GTD,$27.03,0.009653,0.004308,0.000000,0.000027,0.005318,"Balance >= $10"
131,0xcA9DCeE9fe40c994968c178718DFE3BBEcA7580E,"@Animalworl23452",GTD,$26.71,0.009541,0.005193,0.000085,0.000089,0.004174,"Balance >= $10"
132,0x4188b5cbe3cef11049ef626d5a43d4f348a38a07,"ian88sha",GTD,$26.40,0.009429,0.004357,0.000000,0.000000,0.005072,"Balance >= $10"
133,0x89c1a45c6Fd03B2Fd868D45d65918D91C70121cB,"@kulubsampe94",GTD,$26.30,0.009394,0.005070,0.000647,0.000000,0.003677,"Balance >= $10"
134,0x86764C5813a4FC18E447013bB1540d975cc354fE,"yung_emma1",GTD,$26.18,0.009352,0.009328,0.000015,0.000000,0.000009,"Balance >= $10"
135,0x4aaf1e03f64a0cf205c48a563f767c5e7f185d2f,"feralcara",GTD,$26.11,0.009327,0.004055,0.000000,0.000000,0.005271,"Balance >= $10"
136,0x1d60c6ec6110b6a4435b4181ca6abb209e32c4e2,"@Esla_alm",GTD,$25.77,0.009203,0.008775,0.000000,0.000000,0.000428,"Balance >= $10"
137,0x16E658f644B90169C8251693661A0eD5026DeBd2,"@Wadezig89",GTD,$25.67,0.009168,0.007648,0.000000,0.000000,0.001519,"Balance >= $10"
138,0xD3D04255F0EDf9C2EED3E7EBE6B4a9C6D2C0DE6e,"@khalay53",GTD,$25.64,0.009156,0.009016,0.000004,0.000000,0.000135,"Balance >= $10"
139,0xf2e284319739b0bcbbbdb772fa2efd9a1a9a8b94,"@michaelinmvo",GTD,$25.46,0.009094,0.000476,0.000000,0.000000,0.008619,"Balance >= $10"
140,0xb6b4c1d2f71a7e58950b2080a9180700bcb9d84e,"Beni1902_",GTD,$25.11,0.008967,0.001708,0.000082,0.000000,0.007177,"Balance >= $10"
141,0xca4515156411376dd00319a8a93875a9b02f6e71,"@callmerndii",GTD,$24.44,0.008729,0.008621,0.000000,0.000000,0.000108,"Balance >= $10"
142,0x4bdc651dadc3d08f949a2e2f4f85353013caa45b,"taynewwiet",GTD,$23.93,0.008547,0.007374,0.000000,0.000000,0.001173,"Balance >= $10"
143,0xed39dacf2ce3c9213d41a1c0627f0f8cac49bac6,"noblehornet5",GTD,$23.55,0.008412,0.003306,0.000000,0.000000,0.005106,"Balance >= $10"
144,0x9be8085381cd85e8c87712950eaf30425881b16a,"@Hitesh30556274",GTD,$23.50,0.008393,0.007652,0.000017,0.000000,0.000723,"Balance >= $10"
145,0x9b890a2720a4519797111fae6d6d4809b256f636,"ian27",GTD,$23.32,0.008330,0.002656,0.000000,0.000000,0.005674,"Balance >= $10"
146,0xd593ab5C4334804319157166Ab3E72Ef45f399aa,"@MFebrianarya",GTD,$22.96,0.008201,0.008029,0.000081,0.000000,0.000091,"Balance >= $10"
147,0x1ae47dacd5c741b31d4c58e1dbf3c33c811a197c,"@Macoomatow",GTD,$22.89,0.008175,0.007781,0.000033,0.000000,0.000361,"Balance >= $10"
148,0x976B6Bb175A7ca25378c2C30a41b9C2b53F6a172,"canyon_fi",GTD,$22.87,0.008169,0.007907,0.000174,0.000000,0.000088,"Balance >= $10"
149,0x70f520826094464d59868c47f812cdb77a7eaa1a,"timber1995",GTD,$22.49,0.008032,0.002803,0.000000,0.000000,0.005229,"Balance >= $10"
150,0xd22bacb7b26c394a08400ea0351cb02e47c56343,"dan2005",GTD,$22.42,0.008006,0.002792,0.000100,0.000000,0.005114,"Balance >= $10"
151,0x6d1002951e7aa21011ee81071ccddb95e5837382,"anderbundamole",GTD,$22.38,0.007993,0.004040,0.000000,0.000000,0.003953,"Balance >= $10"
152,0x327cc06e8a37e50f93de3e4a05c8a92fcaaf50e4,"0xdino_eth",GTD,$22.30,0.007963,0.005745,0.000000,0.000000,0.002217,"Balance >= $10"
153,0x3557cD02bB09F2dbC47221c608e9f57Db279cFb6,"gwei_otter",GTD,$21.90,0.007823,0.007329,0.000159,0.000000,0.000335,"Balance >= $10"
154,0xC3043c8be003396006507610689b46174A99F52a,"@luis",GTD,$21.85,0.007803,0.007777,0.000007,0.000000,0.000018,"Balance >= $10"
155,0x45febdb2cd152f923575463a9703532f1fb5e68c,"ProfJrii",GTD,$21.80,0.007786,0.007717,0.000000,0.000000,0.000069,"Balance >= $10"
156,0x35037881ed904595533afb90756a79b6741b0302,"paul_fi",GTD,$21.75,0.007767,0.002582,0.000000,0.000000,0.005185,"Balance >= $10"
157,0xb732d0c8d5ab6154a91e65f36c7d62dafc5af801,"JulietteSheeri",GTD,$21.43,0.007652,0.006620,0.000042,0.000001,0.000990,"Balance >= $10"
158,0xc0b01d2f01e71cb50420a582f0be5d9712d3728b,"JourneeTatninx",GTD,$21.41,0.007645,0.006613,0.000042,0.000000,0.000990,"Balance >= $10"
159,0xb4724e5539935a2543b33974c5ce013e915981d0,"Kathyxltw",GTD,$21.40,0.007642,0.006610,0.000042,0.000000,0.000990,"Balance >= $10"
160,0x73243b50579c691fc48b2e027225db754e52fa9e,"JuliannaLesmjs",GTD,$21.38,0.007636,0.006604,0.000042,0.000000,0.000990,"Balance >= $10"
161,0x973b194e23f8621ae07ff1df98601212ab219bea,"JulietteTenciy",GTD,$21.33,0.007617,0.006585,0.000042,0.000000,0.000990,"Balance >= $10"
162,0xc75edcc6e7053c6155da0b51f295ba34fce21398,"KaylaPagelzg9",GTD,$21.31,0.007610,0.006578,0.000042,0.000001,0.000990,"Balance >= $10"
163,0xa27092ffd32f901769ce89bd097a0eff9d05d0dc,"JourneeLigerft",GTD,$21.30,0.007608,0.006576,0.000042,0.000001,0.000990,"Balance >= $10"
164,0x1a3b78c7554234d2d8449d41598fb074bca18b85,"JulianaTooe0zm",GTD,$21.30,0.007607,0.006574,0.000042,0.000001,0.000990,"Balance >= $10"
